"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","JAN THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","24,800,000",""
"SURVEY","2023","JUL THRU DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,000,000",""
"SURVEY","2022","JAN THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","25,300,000",""
"SURVEY","2022","JUL THRU DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,164,500",""
"SURVEY","2021","JAN THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","25,700,000",""
"SURVEY","2021","JUL THRU DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,465,900",""
"SURVEY","2020","JAN THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","25,850,000",""
"SURVEY","2020","JUL THRU DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,645,500",""
"SURVEY","2019","JAN THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","26,000,000",""
"SURVEY","2019","JUL THRU DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE - CALF CROP, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,591,600",""
