time,open,high,low,close
193933800,39,39.05,37.9,38.1
194020200,38.05,38.45,38.02,38.4
194106600,38.5,38.57,37.82,38.42
194193000,38.6,38.7,38.1,38.17
194279400,38,38.15,37.4,37.45
194538600,37,37,36.32,36.65
194625000,36.9,37.4,36.85,37.22
194711400,37.2,37.5,36.9,37.27
194797800,37.45,37.65,37.15,37.32
194884200,37.5,37.55,37.07,37.52
195143400,37.52,37.7,37.12,37.2
195229800,37.3,37.85,37.25,37.6
195316200,37.55,37.75,37.32,37.72
195402600,37.55,37.55,37.1,37.25
195489000,37.15,37.75,37.05,37.7
195748200,37.45,37.85,37.35,37.5
195834600,37.4,37.4,36.87,37.1
195921000,36.5,36.75,36.2,36.32
196007400,36.75,36.87,36.45,36.77
196093800,37,37.1,36.62,36.92
196353000,36.7,36.75,36.45,36.7
196439400,36.8,37.5,36.65,37.32
196525800,37.35,37.6,37.17,37.27
196612200,37.2,38.77,37.15,38.52
196698600,38.4,38.8,38.15,38.67
196957800,38.6,38.9,38.35,38.6
197044200,38.87,39.9,38.87,39.85
197130600,39.9,40.5,39.75,40.42
197217000,40.4,40.77,39.87,40.55
197303400,40.35,40.75,40.25,40.55
197562600,40.95,42.05,40.95,42.02
197649000,41.5,41.97,41.27,41.82
197735400,43,43.32,43,43.32
197821800,44,44.82,43.95,44.82
197908200,44.6,45.8,44.6,45.12
198167400,44.85,44.95,44.45,44.82
198253800,44.8,45.25,44.32,44.82
198340200,45.85,46.32,45.75,45.92
198426600,48.7,48.87,48.25,48.65
198772200,49.4,49.8,49,49.02
198858600,48.95,49.6,48.65,49.55
198945000,49.5,49.6,48.4,48.57
199031400,48.2,48.2,47.4,47.92
199117800,47.7,48.3,47.1,48.07
199373400,48.55,48.92,48.32,48.52
199459800,47.75,47.75,47.02,47.02
199546200,46.7,47.22,46.42,46.87
199632600,46.8,47.2,46.22,46.97
199719000,47.1,47.25,46.55,47.07
199978200,47.5,47.57,46.77,46.8
200064600,46.3,46.5,45.65,45.72
200151000,45.85,46.1,45.32,45.4
200237400,45.6,45.8,45.22,45.65
200323800,45.7,46.1,45.7,45.85
200583000,45.4,45.6,44.6,44.65
200669400,44.5,44.8,43.9,44.25
200755800,43.75,43.8,42.8,43.55
200842200,43.6,43.9,43.27,43.77
200928600,42.87,43.25,42.6,42.8
201187800,42.9,43.07,42.55,42.65
201274200,42.35,42.97,42.25,42.37
201360600,42.45,42.45,41.77,42.1
201447000,42.9,43,42.55,42.85
201533400,42.6,43.55,42.57,43.52
201792600,43.7,44.15,43.4,43.55
201879000,43.2,43.25,42.95,43.2
201965400,43.35,44.7,43.35,44.7
202051800,44.85,45.25,44.55,45
202138200,45.4,45.87,45.12,45.82
202483800,45.7,45.7,44.65,44.77
202570200,44.7,45.1,44.35,44.47
202656600,44,44.1,43.55,43.7
202743000,43.65,44.02,43.05,43.1
203002200,42,42.35,41.6,41.6
203088600,41.05,41.95,41.05,41.9
203175000,42.5,42.85,41.9,42.42
203261400,43.1,43.32,42.5,42.57
203347800,42.2,42.2,41.17,41.47
203607000,41.8,41.85,41.5,41.52
203693400,46.15,46.35,45.67,46.07
203779800,45.5,45.5,44.57,44.57
203866200,44.5,44.85,44.1,44.62
203952600,44.7,44.95,43.8,43.9
204211800,43.75,44.1,43.6,43.77
204298200,43.25,43.3,42.5,42.87
204384600,43.3,43.45,42.57,42.95
204471000,42.75,43.25,42.65,43.02
204557400,43.2,44,43.2,43.87
204816600,43.87,44.2,42.8,42.95
204903000,42.9,43.25,42.57,42.95
204989400,42.6,42.6,41.9,42
205075800,41.7,41.9,40.9,41.02
205162200,41,41,40.5,40.6
205507800,40.65,41,39.75,39.8
205594200,40.5,41.3,40.25,41.3
205680600,40.95,41.9,40.95,41.85
205767000,41.6,41.77,40.5,40.57
206026200,40.2,40.22,39.42,40.17
206112600,39.8,40.6,39.57,40.37
206199000,40.8,41.1,40.42,40.47
206285400,40.25,40.82,40.05,40.47
206371800,40.85,41.97,40.85,41.82
206631000,42.25,42.4,41.5,41.77
206717400,40.8,40.85,40.27,40.27
206803800,40.5,40.75,39.7,40.25
206890200,40.5,40.85,40.2,40.7
206976600,40.7,40.95,40.37,40.8
207235800,40.5,40.6,39.95,39.97
207322200,39.45,39.45,38.85,38.9
207408600,38.8,39.4,38.5,39.37
207495000,39.3,39.3,38.52,38.65
207581400,38.5,38.5,37.87,37.95
207840600,37.85,37.95,37.22,37.25
207927000,37,37.5,36.75,36.92
208013400,37.5,37.95,37.25,37.37
208099800,37.3,37.5,37.07,37.27
208186200,37.55,37.75,37.4,37.47
208445400,38.25,38.87,38.25,38.77
208531800,38.45,38.45,37.8,37.82
208618200,38.55,38.8,38.27,38.45
208704600,38.35,38.75,38.35,38.47
208791000,38.47,39.2,38.3,38.82
209050200,38.5,38.52,38.3,38.35
209136600,42,42.45,41.75,42.32
209223000,42.7,43.6,42.65,43.2
209309400,43.45,43.45,42.8,42.85
209395800,42.8,42.8,42.27,42.47
209655000,42.7,42.72,42.07,42.37
209741400,42.2,42.2,41.85,42.05
209827800,41.4,41.45,41,41.25
209914200,41.35,41.5,40.7,40.75
210000600,40.9,41.37,40.9,41.05
210259800,40.25,41.25,40.25,41.17
210346200,41.2,41.32,40.7,40.75
210432600,40.5,40.7,40.05,40.37
210519000,40.7,40.95,40.5,40.62
210605400,40.7,40.9,40.4,40.55
210951000,40.7,41.5,40.4,41.4
211037400,41.35,41.35,40.6,40.62
211123800,40.2,40.47,40.12,40.27
211210200,40.4,40.67,40.15,40.6
211469400,40.35,40.35,39.7,39.85
211555800,39.55,39.72,39.17,39.32
211642200,39.6,39.65,38.75,39.42
211728600,39.55,39.8,38.95,38.97
211815000,38.5,38.75,38.07,38.15
212074200,37.75,37.9,37.32,37.4
212160600,37.2,37.5,36.9,36.92
212247000,37.15,37.4,36.75,36.82
212333400,36.82,37.15,36.57,36.67
212419800,36.6,37,36.4,36.57
212679000,37,37.25,36.77,37.05
212765400,37.15,37.42,36.9,37.32
212851800,36.8,36.8,36.15,36.22
212938200,36,36.07,35.55,35.62
213024600,35.8,35.8,35.32,35.5
213283800,35.6,35.77,35.1,35.17
213370200,35.6,36.67,35.6,36.27
213456600,36.3,36.7,35.9,35.97
213543000,35.75,36.85,35.52,36.62
213629400,36.62,37.6,36.45,37.3
213888600,37.7,38.8,37.7,38.8
213975000,39.5,39.77,39.22,39.42
214061400,39.75,40.72,39.5,39.72
214147800,39.55,40.27,39.55,39.97
214234200,41.7,41.9,41.35,41.67
214493400,41.55,41.85,41.25,41.6
214579800,41.4,41.65,41.05,41.6
214666200,41.4,42.35,41.2,42.3
214752600,42.6,42.85,42.25,42.27
214839000,42.5,43.1,42.32,43.05
215098200,43,43.05,42.3,42.35
215184600,42.2,42.2,40.85,40.85
215271000,40.4,41.3,40.4,41.15
215357400,41.15,41.5,40.2,40.4
215443800,40.35,40.4,39.45,39.55
215706600,38.9,39.4,38.5,39.3
215879400,39.87,40.2,39.5,39.8
215965800,40.1,41.27,40.1,41.2
216052200,41.15,41.45,40.7,41.07
216311400,40.95,41.8,40.8,41.07
216397800,40.5,40.72,40.25,40.7
216484200,41,41.25,40.55,40.92
216570600,40.9,41.35,40.82,41.12
216657000,41.2,41.25,40.6,40.75
216916200,40.2,40.4,39.9,40.1
217002600,40.6,40.8,40.45,40.57
217089000,40.7,41.25,40.4,40.87
217175400,40.8,41.17,40.65,40.72
217261800,41,41.07,40.5,40.62
217521000,41.6,42.12,41.57,42.1
217607400,41.75,41.85,41.07,41.2
217693800,41.2,41.2,40.6,41.02
217866600,41.25,41.25,40.75,40.87
218125800,41.35,41.7,41.25,41.3
218212200,41.8,42.3,41.65,42.12
218298600,42.3,42.3,41.8,41.82
218385000,42.17,42.17,41.5,41.62
218471400,41.55,41.8,41.45,41.47
218730600,41.5,41.77,41.15,41.72
218817000,42.05,42.32,41.85,42.15
218903400,42.1,42.1,41.27,41.3
218989800,41.35,41.55,40.75,40.8
219076200,40.8,41.05,40.62,40.75
219335400,40.85,40.95,40.45,40.47
219421800,40.1,40.6,40.1,40.45
219508200,40.15,40.45,39.75,39.95
219594600,40.3,40.8,40.3,40.57
219681000,40.75,40.8,40.12,40.22
219940200,40.15,40.45,40.05,40.15
220026600,40.17,40.3,39.9,39.92
220113000,40.2,40.5,40.15,40.45
