"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","45,711,991,000",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","45,943,456,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","45,595,215,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","44,628,867,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","45,677,452,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","44,197,461,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","42,694,001,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,503,073,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","40,268,012,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","40,781,761,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","40,920,479,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,483,945,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,379,839,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,033,359,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,586,134,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,437,021,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,824,568,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,246,788,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,552,792,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","42,236,472,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","42,409,258,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","42,581,294,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","43,040,893,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","42,578,262,000",""
